date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,cryptoname
2020-01-31,0.05450,0.05559,0.05209,0.05387,244632854,2020-02-01,13130602.88191,40186,116954492,6287355.88554,ADA/USDT
2020-02-01,0.05383,0.05745,0.05304,0.05620,372594843,2020-02-02,20474420.05379,52151,187682088,10319114.48017,ADA/USDT
2020-02-02,0.05616,0.05960,0.05484,0.05583,481355438,2020-02-03,27595953.21127,49441,233179498,13374969.19535,ADA/USDT
2020-02-03,0.05577,0.05808,0.05526,0.05718,337457383,2020-02-04,19156619.26900,48860,169567615,9639184.30681,ADA/USDT
2020-02-04,0.05718,0.05789,0.05406,0.05601,267287553,2020-02-05,14916754.58812,23295,125392133,7002296.31439,ADA/USDT
2020-02-05,0.05605,0.06028,0.05572,0.05949,293624089,2020-02-06,17206732.18324,25003,144376811,8467309.96349,ADA/USDT
2020-02-06,0.05947,0.06115,0.05720,0.06014,285964483,2020-02-07,17159678.09243,27495,123418472,7418494.11695,ADA/USDT
2020-02-07,0.06016,0.06306,0.05966,0.06014,301494128,2020-02-08,18434074.26850,32552,141357529,8646822.54977,ADA/USDT
2020-02-08,0.06015,0.06147,0.05690,0.06018,258763669,2020-02-09,15519056.22823,26378,115034175,6914379.26857,ADA/USDT
2020-02-09,0.06014,0.06261,0.06010,0.06194,219182975,2020-02-10,13486362.37340,22968,95515654,5877308.71654,ADA/USDT
2020-02-10,0.06194,0.06246,0.05818,0.06029,246284094,2020-02-11,14792205.30825,27375,106163307,6379649.95952,ADA/USDT
2020-02-11,0.06030,0.06364,0.05901,0.06357,316957344,2020-02-12,19394070.62141,31487,164925248,10093889.64927,ADA/USDT
2020-02-12,0.06352,0.07090,0.06351,0.06825,552763234,2020-02-13,37060478.50695,60938,262824715,17596415.36441,ADA/USDT
2020-02-13,0.06829,0.07256,0.06476,0.06882,688219788,2020-02-14,47792725.89754,92306,305930275,21244609.63901,ADA/USDT
2020-02-14,0.06883,0.07150,0.06709,0.07082,491638895,2020-02-15,34187175.37611,62326,206916728,14370175.85959,ADA/USDT
2020-02-15,0.07082,0.07150,0.06189,0.06433,493739507,2020-02-16,33338937.34961,66571,204055681,13806175.02158,ADA/USDT
2020-02-16,0.06430,0.06717,0.05635,0.06159,519254402,2020-02-17,32452121.60021,82233,235691532,14738142.40804,ADA/USDT
2020-02-17,0.06156,0.06286,0.05567,0.06024,480135119,2020-02-18,28204527.04717,82977,218896346,12870596.75349,ADA/USDT
2020-02-18,0.06024,0.06377,0.05748,0.06283,408675432,2020-02-19,24971587.75296,108156,216851050,13271876.16396,ADA/USDT
2020-02-19,0.06282,0.06306,0.05654,0.05737,360991315,2020-02-20,22143423.63839,67063,168859341,10379040.10467,ADA/USDT
2020-02-20,0.05734,0.05908,0.05545,0.05818,323424931,2020-02-21,18537428.85058,106648,152949421,8772838.17309,ADA/USDT
2020-02-21,0.05818,0.06006,0.05739,0.05847,324430721,2020-02-22,19112959.63366,68175,145119823,8554856.96029,ADA/USDT
2020-02-22,0.05856,0.05912,0.05701,0.05830,275321494,2020-02-23,16005836.86394,76452,141084094,8201070.39172,ADA/USDT
2020-02-23,0.05830,0.06211,0.05823,0.06151,346239333,2020-02-24,20968670.41642,78367,193867006,11751084.87172,ADA/USDT
2020-02-24,0.06150,0.06191,0.05740,0.05907,387317026,2020-02-25,23046850.18640,86175,208820264,12438652.01293,ADA/USDT
2020-02-25,0.05907,0.05925,0.05577,0.05606,364172176,2020-02-26,20925103.36931,93951,198745363,11424168.75143,ADA/USDT
2020-02-26,0.05607,0.05674,0.04625,0.04914,577235373,2020-02-27,29369574.95242,103175,252429589,12844696.26620,ADA/USDT
2020-02-27,0.04918,0.05212,0.04614,0.04989,338999152,2020-02-28,16914906.82500,126397,159748827,7972531.86357,ADA/USDT
2020-02-28,0.04987,0.05134,0.02286,0.04890,313933720,2020-02-29,15277476.16276,101832,146892869,7159621.98811,ADA/USDT
2020-02-29,0.04886,0.05001,0.04709,0.04710,255284363,2020-03-01,12353566.96390,85443,125632220,6085578.21559,ADA/USDT
2020-03-01,0.04709,0.04835,0.04505,0.04563,319589360,2020-03-02,15006546.32898,82775,165104163,7754267.42390,ADA/USDT
2020-03-02,0.04564,0.04987,0.04545,0.04933,318808647,2020-03-03,15283427.69986,78045,171562552,8229818.41252,ADA/USDT
2020-03-03,0.04928,0.04944,0.04742,0.04869,304649550,2020-03-04,14771268.71743,61591,130437739,6325126.14839,ADA/USDT
2020-03-04,0.04871,0.05043,0.04786,0.04903,255736293,2020-03-05,12599867.23722,39930,126002471,6212442.91021,ADA/USDT
2020-03-05,0.04902,0.05242,0.04901,0.05102,359660890,2020-03-06,18327292.19957,54917,185609012,9472189.03422,ADA/USDT
2020-03-06,0.05105,0.05180,0.04985,0.05180,280916982,2020-03-07,14348667.43819,50080,188293967,9618755.13680,ADA/USDT
2020-03-07,0.05180,0.05197,0.04816,0.04882,308561489,2020-03-08,15540629.69318,55574,155379416,7827291.44360,ADA/USDT
2020-03-08,0.04888,0.04888,0.04220,0.04296,260615130,2020-03-09,11860704.09190,30246,133141990,6081139.61570,ADA/USDT
2020-03-09,0.04295,0.04398,0.03894,0.04157,469918638,2020-03-10,19464347.83394,74443,239598957,9927004.31228,ADA/USDT
2020-03-10,0.04154,0.04303,0.04035,0.04147,402798939,2020-03-11,16767076.31285,89823,205701716,8565613.32494,ADA/USDT
2020-03-11,0.04147,0.04182,0.03732,0.03967,351085079,2020-03-12,14005161.19511,98009,175955226,7024240.38876,ADA/USDT
2020-03-12,0.03970,0.03986,0.02193,0.02329,782726207,2020-03-13,24058671.58419,88357,355234398,10892674.18201,ADA/USDT
2020-03-13,0.02321,0.02936,0.01752,0.02844,744073334,2020-03-14,18751484.04327,113084,361818915,9107356.28290,ADA/USDT
