Date,Open,High,Low,Close,Volume,Number of Trades
2021-11-24T14:00:00.0000000Z,1.64999,1.68228,1.62896,1.68228,56149.58425841,76
2021-11-24T16:00:00.0000000Z,1.68115,1.68115,1.6175,1.61873,141283.26742442,90
2021-11-24T18:00:00.0000000Z,1.62227,1.63055,1.60394,1.61656,39873.04867819,34
2021-11-24T20:00:00.0000000Z,1.61954,1.65,1.61767,1.64655,21604.23303958,28
2021-11-24T22:00:00.0000000Z,1.65049,1.675,1.649,1.67266,10523.54826215,24
2021-11-25T00:00:00.0000000Z,1.66893,1.689,1.65426,1.67,9160.26481556,23
2021-11-25T02:00:00.0000000Z,1.66502,1.69582,1.66158,1.69582,7434.86787966,9
2021-11-25T04:00:00.0000000Z,1.69743,1.69743,1.66158,1.66158,13833.30840304,19
2021-11-25T06:00:00.0000000Z,1.66051,1.66325,1.64433,1.64433,21170.41319485,30
2021-11-25T08:00:00.0000000Z,1.64854,1.64854,1.62819,1.63688,12492.7971097,19
2021-11-25T10:00:00.0000000Z,1.64,1.68419,1.64,1.66988,9595.58325109,31
2021-11-25T12:00:00.0000000Z,1.68807,1.74334,1.68807,1.72999,77909.95041928,95
2021-11-25T14:00:00.0000000Z,1.73031,1.7431,1.72274,1.72308,10244.91190357,27
2021-11-25T16:00:00.0000000Z,1.74056,1.74826,1.71111,1.72526,23443.81414332,40
2021-11-25T18:00:00.0000000Z,1.72172,1.7258,1.69582,1.70621,23289.50244179,28
2021-11-25T20:00:00.0000000Z,1.71143,1.712,1.68175,1.68175,2981.91941319,16
2021-11-25T22:00:00.0000000Z,1.68906,1.70252,1.67266,1.67266,9141.60557446,18
2021-11-26T00:00:00.0000000Z,1.68691,1.68691,1.66373,1.66373,9810.67593896,17
2021-11-26T02:00:00.0000000Z,1.65971,1.65971,1.64983,1.64983,420.14742915,8
2021-11-26T04:00:00.0000000Z,1.64575,1.64575,1.63477,1.63568,15722.43409801,16
2021-11-26T06:00:00.0000000Z,1.64983,1.65274,1.60508,1.61986,22811.89427714,40
2021-11-26T08:00:00.0000000Z,1.60508,1.60508,1.5,1.5473,108855.80703257,152
2021-11-26T10:00:00.0000000Z,1.54022,1.54326,1.50968,1.50968,14699.07003967,44
2021-11-26T12:00:00.0000000Z,1.50849,1.56669,1.50295,1.56669,15734.3693025,39
2021-11-26T14:00:00.0000000Z,1.5619,1.59017,1.55347,1.5572,14705.99743012,32
2021-11-26T16:00:00.0000000Z,1.55442,1.58678,1.53977,1.56063,93008.96773908,44
2021-11-26T18:00:00.0000000Z,1.55441,1.57592,1.54972,1.572,15390.49232481,21
2021-11-26T20:00:00.0000000Z,1.57343,1.58212,1.55535,1.55535,24405.82934274,26
2021-11-26T22:00:00.0000000Z,1.55441,1.5713,1.53318,1.53318,12774.98796234,23
2021-11-27T00:00:00.0000000Z,1.5473,1.56872,1.5473,1.56498,4950.97423725,12
2021-11-27T02:00:00.0000000Z,1.56872,1.57096,1.56546,1.56546,3430.09541652,7
2021-11-27T04:00:00.0000000Z,1.56495,1.56495,1.5473,1.5473,272.77881585,5
2021-11-27T06:00:00.0000000Z,1.54945,1.54945,1.54022,1.54105,3075.59643838,10
2021-11-27T08:00:00.0000000Z,1.55441,1.57194,1.55441,1.55895,22702.34794801,20
2021-11-27T10:00:00.0000000Z,1.55441,1.56563,1.55348,1.55662,46293.94762535,33
2021-11-27T12:00:00.0000000Z,1.55808,1.57592,1.55199,1.57592,6285.2037806,12
2021-11-27T14:00:00.0000000Z,1.57247,1.57329,1.56643,1.57329,6231.3766604,6
2021-11-27T16:00:00.0000000Z,1.5738,1.58316,1.5738,1.575,1545.8686084,4
2021-11-27T18:00:00.0000000Z,1.57,1.57551,1.56872,1.57551,533.09130107,3
2021-11-27T20:00:00.0000000Z,1.56155,1.56155,1.54,1.54,6953.53356351,21
2021-11-27T22:00:00.0000000Z,1.55441,1.55781,1.536,1.536,6144.84689552,11
2021-11-28T00:00:00.0000000Z,1.54223,1.54223,1.51225,1.51541,2891.38867518,20
