Date,Open,High,Low,Close,Volume,Number of Trades
2020-10-20T12:00:00.0000000Z,10.41,10.45,10.25,10.25,443.12095918,29
2020-10-20T14:00:00.0000000Z,10.44,10.45,10.32,10.34,669.86699344,20
2020-10-20T16:00:00.0000000Z,10.3,10.31,10.0,10.01,1184.08263826,32
2020-10-20T18:00:00.0000000Z,10.16,10.42,10.01,10.02,1458.70087256,65
2020-10-20T20:00:00.0000000Z,10.04,10.16,10.04,10.06,2745.03423052,83
2020-10-20T22:00:00.0000000Z,10.07,10.07,9.83,9.83,361.672,12
2020-10-21T00:00:00.0000000Z,9.88,10.06,9.88,10.01,1326.53051741,17
2020-10-21T02:00:00.0000000Z,10.05,10.49,10.05,10.31,4190.8502587,61
2020-10-21T04:00:00.0000000Z,10.3,10.55,10.3,10.44,272.19664337,22
2020-10-21T06:00:00.0000000Z,10.47,10.59,10.47,10.53,2699.94318406,47
2020-10-21T08:00:00.0000000Z,10.41,10.57,10.4,10.43,379.58083523,14
2020-10-21T10:00:00.0000000Z,10.47,10.53,10.44,10.47,848.98299207,97
2020-10-21T12:00:00.0000000Z,10.46,10.61,10.42,10.61,1736.0155529,117
2020-10-21T14:00:00.0000000Z,10.64,10.85,10.6,10.83,3539.99795419,158
2020-10-21T16:00:00.0000000Z,10.9,11.16,10.9,11.0,6424.82562177,177
2020-10-21T18:00:00.0000000Z,11.0,11.03,10.82,10.87,3757.57469961,185
2020-10-21T20:00:00.0000000Z,10.88,11.1,10.87,11.06,3795.12144043,141
2020-10-21T22:00:00.0000000Z,11.09,11.16,10.82,10.82,2965.23568106,166
2020-10-22T00:00:00.0000000Z,10.81,11.02,10.8,10.94,1736.01268675,67
2020-10-22T02:00:00.0000000Z,10.93,10.93,10.81,10.82,400.38540221,34
2020-10-22T04:00:00.0000000Z,10.84,10.98,10.77,10.95,1551.41248566,60
2020-10-22T06:00:00.0000000Z,10.93,11.15,10.87,11.15,1760.3792735,69
2020-10-22T08:00:00.0000000Z,11.18,11.4,11.18,11.32,3225.90116377,157
2020-10-22T10:00:00.0000000Z,11.33,11.58,11.33,11.58,5167.64060741,213
2020-10-22T12:00:00.0000000Z,11.57,11.7,11.33,11.54,21776.57060736,322
2020-10-22T14:00:00.0000000Z,11.49,11.77,11.45,11.74,12205.32158139,311
2020-10-22T16:00:00.0000000Z,11.75,12.22,11.75,12.21,6691.0729453,167
2020-10-22T18:00:00.0000000Z,12.3,12.46,12.12,12.15,6668.0958896,210
2020-10-22T20:00:00.0000000Z,12.15,12.43,11.98,12.28,5571.80345931,250
2020-10-22T22:00:00.0000000Z,12.26,12.28,11.87,11.89,2615.73340156,67
2020-10-23T00:00:00.0000000Z,11.91,12.14,11.77,12.09,2643.1916808,66
2020-10-23T02:00:00.0000000Z,12.12,12.25,12.02,12.02,1026.5816275,49
2020-10-23T04:00:00.0000000Z,12.05,12.21,11.97,12.08,5156.69092436,76
2020-10-23T06:00:00.0000000Z,12.11,12.11,11.81,11.81,430.63455149,80
2020-10-23T08:00:00.0000000Z,11.82,12.0,11.75,11.94,4323.50113586,260
2020-10-23T10:00:00.0000000Z,12.04,12.23,11.95,12.11,9368.92383874,134
2020-10-23T12:00:00.0000000Z,12.07,12.28,12.04,12.12,7252.39281571,170
2020-10-23T14:00:00.0000000Z,12.11,12.11,11.9,11.94,5680.87021981,158
2020-10-23T16:00:00.0000000Z,11.95,12.14,11.54,11.8,6839.41475974,172
2020-10-23T18:00:00.0000000Z,11.85,12.04,11.84,12.04,2200.39358516,29
2020-10-23T20:00:00.0000000Z,12.07,12.13,11.96,12.11,4819.31201421,124
2020-10-23T22:00:00.0000000Z,12.11,12.24,11.98,12.16,6264.72494187,136
2020-10-24T00:00:00.0000000Z,12.12,12.15,12.03,12.15,170.20787926,20
2020-10-24T02:00:00.0000000Z,12.14,12.23,12.14,12.16,245.63187272,16
2020-10-24T04:00:00.0000000Z,12.22,12.5,12.22,12.39,4676.20394932,132
2020-10-24T06:00:00.0000000Z,12.42,12.45,12.27,12.32,12495.79988323,318
2020-10-24T08:00:00.0000000Z,12.31,12.4,12.27,12.35,6009.07852915,281
2020-10-24T10:00:00.0000000Z,12.33,12.5,12.26,12.5,6431.43163876,352
2020-10-24T12:00:00.0000000Z,12.5,12.77,12.4,12.77,6053.49488617,182
2020-10-24T14:00:00.0000000Z,12.75,12.82,12.57,12.64,8896.79650733,202
2020-10-24T16:00:00.0000000Z,12.67,12.97,12.67,12.9,8153.61250351,253
2020-10-24T18:00:00.0000000Z,12.9,12.96,12.81,12.88,4162.34271212,171
2020-10-24T20:00:00.0000000Z,12.9,12.9,12.65,12.65,842.57296233,68
2020-10-24T22:00:00.0000000Z,12.7,12.78,12.68,12.75,780.34294433,44
2020-10-25T00:00:00.0000000Z,12.7,12.72,12.57,12.68,733.45386922,53
2020-10-25T02:00:00.0000000Z,12.72,12.85,12.72,12.8,1089.6415554,50
2020-10-25T04:00:00.0000000Z,12.77,12.8,12.3,12.34,2986.45313814,86
2020-10-25T06:00:00.0000000Z,12.49,12.71,12.46,12.53,3580.98689857,115
2020-10-25T08:00:00.0000000Z,12.53,12.6,12.35,12.42,4339.89552385,180
2020-10-25T10:00:00.0000000Z,12.44,12.45,12.09,12.21,5030.41247543,159
2020-10-25T12:00:00.0000000Z,12.19,12.35,12.19,12.33,986.93893713,39
2020-10-25T14:00:00.0000000Z,12.27,12.32,12.1,12.1,4398.0195292,120
2020-10-25T16:00:00.0000000Z,12.07,12.37,11.9,12.3,2830.48133621,158
2020-10-25T18:00:00.0000000Z,12.3,12.38,12.23,12.31,4661.44263565,333
2020-10-25T20:00:00.0000000Z,12.31,12.4,12.25,12.27,2003.67936234,38
2020-10-25T22:00:00.0000000Z,12.23,12.23,12.05,12.12,4841.72763491,85
2020-10-26T00:00:00.0000000Z,12.05,12.33,11.93,12.25,3191.29918131,58
2020-10-26T02:00:00.0000000Z,12.38,12.49,12.29,12.49,433.24200645,15
2020-10-26T04:00:00.0000000Z,12.38,12.38,12.24,12.28,2217.47707619,38
2020-10-26T06:00:00.0000000Z,12.3,12.3,12.13,12.13,440.05931688,44
2020-10-26T08:00:00.0000000Z,12.11,12.22,12.05,12.19,4278.78085063,147
2020-10-26T10:00:00.0000000Z,12.17,12.24,12.04,12.13,2121.14086,114
2020-10-26T12:00:00.0000000Z,12.12,12.12,11.83,11.96,4862.29747326,129
2020-10-26T14:00:00.0000000Z,12.0,12.0,11.53,11.65,8074.94824268,139
2020-10-26T16:00:00.0000000Z,11.56,11.72,11.3,11.42,16137.91181012,264
2020-10-26T18:00:00.0000000Z,11.43,11.76,11.43,11.65,3638.11616314,83
2020-10-26T20:00:00.0000000Z,11.79,11.93,11.78,11.78,2462.78864986,67
2020-10-26T22:00:00.0000000Z,11.76,11.88,11.72,11.74,457.34316431,26
2020-10-27T00:00:00.0000000Z,11.73,11.98,11.73,11.85,2339.06644233,88
2020-10-27T02:00:00.0000000Z,11.88,11.88,11.73,11.75,1049.20030508,13
2020-10-27T04:00:00.0000000Z,11.87,11.9,11.77,11.77,1469.16394383,16
2020-10-27T06:00:00.0000000Z,11.73,11.83,11.62,11.83,4159.60671031,129
2020-10-27T08:00:00.0000000Z,11.69,11.69,11.53,11.66,1797.28751356,124
2020-10-27T10:00:00.0000000Z,11.68,12.05,11.68,12.05,5145.96024996,209
2020-10-27T12:00:00.0000000Z,12.09,12.34,12.01,12.1,9303.70387479,139
2020-10-27T14:00:00.0000000Z,12.13,12.3,12.03,12.25,3635.06389085,116
2020-10-27T16:00:00.0000000Z,12.24,12.49,12.24,12.37,6686.78365412,188
2020-10-27T18:00:00.0000000Z,12.38,12.38,12.18,12.21,3110.24693207,68
2020-10-27T20:00:00.0000000Z,12.26,12.26,11.83,11.91,8659.23576631,136
2020-10-27T22:00:00.0000000Z,11.87,12.03,11.85,11.96,569.38603443,21
2020-10-28T00:00:00.0000000Z,11.81,12.13,11.75,12.12,1859.01041972,52
2020-10-28T02:00:00.0000000Z,12.08,12.1,11.91,11.91,4808.6529524,48
2020-10-28T04:00:00.0000000Z,11.94,11.98,11.8,11.92,3467.53420394,64
2020-10-28T06:00:00.0000000Z,11.91,11.95,11.61,11.79,4961.73641349,263
2020-10-28T08:00:00.0000000Z,11.77,11.8,11.59,11.61,5357.66547254,218
2020-10-28T10:00:00.0000000Z,11.61,11.72,11.32,11.46,7551.70631006,281
2020-10-28T12:00:00.0000000Z,11.46,11.63,11.39,11.4,3420.37226905,389
2020-10-28T14:00:00.0000000Z,11.39,11.54,11.12,11.54,9143.22766647,359
2020-10-28T16:00:00.0000000Z,11.53,11.53,11.27,11.47,4632.33300696,271
2020-10-28T18:00:00.0000000Z,11.52,11.65,11.47,11.5,2827.89578161,57
2020-10-28T20:00:00.0000000Z,11.52,11.52,11.22,11.33,3889.16059058,154
2020-10-28T22:00:00.0000000Z,11.31,11.51,11.28,11.45,2431.74963542,257
2020-10-29T00:00:00.0000000Z,11.47,11.66,11.44,11.65,2543.78784761,164
2020-10-29T02:00:00.0000000Z,11.61,11.75,11.57,11.75,940.27984216,23
2020-10-29T04:00:00.0000000Z,11.72,11.76,11.6,11.7,1397.70536228,177
2020-10-29T06:00:00.0000000Z,11.71,11.81,11.54,11.55,2895.87455536,186
2020-10-29T08:00:00.0000000Z,11.5,11.56,11.43,11.5,1084.90118073,77
2020-10-29T10:00:00.0000000Z,11.51,11.51,11.29,11.29,6842.04980079,148
2020-10-29T12:00:00.0000000Z,11.31,11.47,11.08,11.44,10949.20082181,150
2020-10-29T14:00:00.0000000Z,11.42,11.75,11.42,11.62,7926.68256995,116
2020-10-29T16:00:00.0000000Z,11.61,11.66,11.34,11.39,4619.96121376,115
2020-10-29T18:00:00.0000000Z,11.3,11.42,11.22,11.25,4600.32407259,68
2020-10-29T20:00:00.0000000Z,11.27,11.43,11.12,11.35,5078.02440395,85
2020-10-29T22:00:00.0000000Z,11.33,11.33,11.23,11.27,3598.27426446,56
2020-10-30T00:00:00.0000000Z,11.26,11.45,11.17,11.26,7000.84087318,89
2020-10-30T02:00:00.0000000Z,11.27,11.27,11.09,11.1,3285.65737763,59
2020-10-30T04:00:00.0000000Z,11.12,11.2,10.86,10.86,4608.29768449,89
2020-10-30T06:00:00.0000000Z,10.94,11.1,10.83,11.04,6978.24063451,76
2020-10-30T08:00:00.0000000Z,11.06,11.16,10.78,10.92,8267.11994944,116
2020-10-30T10:00:00.0000000Z,10.97,11.02,10.79,10.98,9504.10248501,117
2020-10-30T12:00:00.0000000Z,10.98,11.05,10.9,10.91,3318.83854229,44
2020-10-30T14:00:00.0000000Z,10.91,11.11,10.81,11.11,3366.16640457,119
2020-10-30T16:00:00.0000000Z,11.11,11.24,10.97,11.17,3103.4398925,84
2020-10-30T18:00:00.0000000Z,11.19,11.21,11.1,11.11,1233.17835828,37
2020-10-30T20:00:00.0000000Z,11.11,11.28,11.05,11.27,1676.48735717,25
2020-10-30T22:00:00.0000000Z,11.3,11.35,11.1,11.1,2222.03639666,40
2020-10-31T00:00:00.0000000Z,11.07,11.23,11.07,11.23,939.53297084,14
2020-10-31T02:00:00.0000000Z,11.18,11.27,11.01,11.04,2488.98978151,39
2020-10-31T04:00:00.0000000Z,11.0,11.06,10.97,11.03,232.39853691,11
2020-10-31T06:00:00.0000000Z,10.97,11.14,10.95,11.14,818.47579658,21
2020-10-31T08:00:00.0000000Z,11.16,11.35,11.08,11.31,2874.6186746,142
