Date,Open,High,Low,Close,Volume,Number of Trades
2020-01-01T00:00:00.0000000Z,41.09,41.53,41.0,41.41,1777.32520599,40
2020-01-01T02:00:00.0000000Z,41.48,41.65,41.43,41.45,87.3128633,11
2020-01-01T04:00:00.0000000Z,41.33,41.67,41.3,41.67,31.05271802,14
2020-01-01T06:00:00.0000000Z,41.62,41.62,41.35,41.42,106.70078671,7
2020-01-01T08:00:00.0000000Z,41.45,41.62,41.3,41.62,16.28099113,7
2020-01-01T10:00:00.0000000Z,41.54,41.84,41.54,41.74,397.96028464,16
2020-01-01T12:00:00.0000000Z,41.63,41.91,41.5,41.91,26.16285533,15
2020-01-01T14:00:00.0000000Z,41.8,41.91,41.7,41.91,27.03568174,9
2020-01-01T16:00:00.0000000Z,41.91,41.97,41.65,41.82,152.37360141,32
2020-01-01T18:00:00.0000000Z,41.76,41.76,41.45,41.59,304.56177053,34
2020-01-01T20:00:00.0000000Z,41.5,41.62,41.45,41.62,168.15635206,21
2020-01-01T22:00:00.0000000Z,41.52,41.52,41.25,41.39,107.91699791,25
2020-01-02T00:00:00.0000000Z,41.5,41.61,41.37,41.37,83.36541143,9
2020-01-02T02:00:00.0000000Z,41.36,41.36,41.1,41.1,290.03591175,14
2020-01-02T04:00:00.0000000Z,41.07,41.23,41.07,41.23,1099.03272035,13
2020-01-02T06:00:00.0000000Z,41.12,41.19,40.96,41.04,409.88594482,22
2020-01-02T08:00:00.0000000Z,41.18,41.25,41.14,41.22,48.56328854,11
2020-01-02T10:00:00.0000000Z,41.36,41.37,41.23,41.23,85.00361644,4
2020-01-02T12:00:00.0000000Z,41.37,41.37,40.99,41.08,107.36789313,27
2020-01-02T14:00:00.0000000Z,41.03,41.08,40.92,40.96,296.96666552,16
2020-01-02T16:00:00.0000000Z,41.08,41.09,38.97,39.48,8947.78057115,270
2020-01-02T18:00:00.0000000Z,39.47,39.63,39.4,39.53,767.09092702,37
2020-01-02T20:00:00.0000000Z,39.49,39.57,39.15,39.57,763.67592426,44
2020-01-02T22:00:00.0000000Z,39.4,39.49,39.26,39.28,565.59862601,34
2020-01-03T00:00:00.0000000Z,39.29,39.34,38.61,38.83,1268.44601928,96
2020-01-03T02:00:00.0000000Z,38.85,39.4,38.78,39.25,3898.54051244,119
2020-01-03T04:00:00.0000000Z,39.45,40.78,39.45,40.37,9267.77868659,389
2020-01-03T06:00:00.0000000Z,40.38,40.67,40.26,40.35,1671.39318066,116
2020-01-03T08:00:00.0000000Z,40.53,41.93,40.48,41.87,7655.99677621,351
2020-01-03T10:00:00.0000000Z,41.92,41.95,41.36,41.8,2212.41301935,93
2020-01-03T12:00:00.0000000Z,41.89,42.2,41.52,41.99,1767.23715768,81
2020-01-03T14:00:00.0000000Z,42.06,42.06,41.33,41.66,2255.17003968,130
2020-01-03T16:00:00.0000000Z,41.73,42.35,41.72,41.86,6725.64601062,256
2020-01-03T18:00:00.0000000Z,41.79,41.92,41.36,41.67,2921.04302738,165
2020-01-03T20:00:00.0000000Z,41.76,41.88,41.38,41.47,655.46314043,66
2020-01-03T22:00:00.0000000Z,41.48,42.19,41.44,42.15,1056.37535251,83
2020-01-04T00:00:00.0000000Z,42.25,42.25,41.74,41.87,2607.89056797,89
2020-01-04T02:00:00.0000000Z,41.87,42.22,41.81,42.22,1355.09894985,55
2020-01-04T04:00:00.0000000Z,42.07,42.12,41.96,42.04,1280.54888574,70
2020-01-04T06:00:00.0000000Z,42.07,42.68,41.98,42.44,2249.17009564,152
