date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,cryptoname
2020-01-17,2.669,2.896,2.669,2.777,1808391.11,2020-01-17,5069065.24197,5403,704938.62,1975202.06737,LINK/USDT
2020-01-17,2.777,2.868,2.759,2.764,946454.80,2020-01-17,2651895.15246,5262,382603.80,1075692.40517,LINK/USDT
2020-01-17,2.764,2.781,2.660,2.715,953127.63,2020-01-17,2586157.56217,5258,275675.03,748597.36319,LINK/USDT
2020-01-17,2.715,2.743,2.658,2.725,876551.32,2020-01-17,2362411.13075,5127,337951.84,913513.78268,LINK/USDT
2020-01-17,2.725,2.762,2.698,2.738,1111676.43,2020-01-17,3042312.13996,3713,471311.55,1291256.72177,LINK/USDT
2020-01-17,2.732,2.777,2.592,2.679,1093758.72,2020-01-17,2976251.88085,4803,513274.32,1403151.73125,LINK/USDT
2020-01-17,2.679,2.710,2.652,2.673,679512.63,2020-01-17,1826314.59879,3618,341087.21,917814.64333,LINK/USDT
2020-01-18,2.674,2.754,2.667,2.696,704785.75,2020-01-18,1911527.19030,3736,299818.58,812819.28862,LINK/USDT
2020-01-18,2.696,2.799,2.675,2.715,851115.15,2020-01-18,2328738.40013,3734,416210.47,1141185.26089,LINK/USDT
2020-01-18,2.715,2.723,2.680,2.706,583279.10,2020-01-18,1576384.10296,3689,275193.47,744386.74965,LINK/USDT
2020-01-18,2.702,2.707,2.560,2.630,938524.83,2020-01-18,2473480.38052,4369,325830.88,860372.98966,LINK/USDT
2020-01-18,2.632,2.672,2.610,2.635,608178.23,2020-01-18,1606408.80815,4467,295887.12,782514.40276,LINK/USDT
2020-01-18,2.638,2.738,2.627,2.711,668156.33,2020-01-18,1789251.35228,5495,360142.54,964580.65940,LINK/USDT
2020-01-18,2.712,2.777,2.690,2.719,713476.43,2020-01-18,1946822.50803,4986,348809.92,952161.44982,LINK/USDT
2020-01-18,2.715,2.779,2.712,2.745,653011.29,2020-01-18,1793663.16836,5600,339844.80,934045.45501,LINK/USDT
2020-01-18,2.748,2.751,2.673,2.703,651819.71,2020-01-18,1773755.86701,5190,286332.59,780058.78725,LINK/USDT
2020-01-18,2.698,2.739,2.654,2.706,599008.45,2020-01-18,1617604.48772,5219,278664.33,753608.75301,LINK/USDT
2020-01-18,2.704,2.737,2.700,2.731,460436.20,2020-01-18,1251089.16191,4056,239254.27,650359.88535,LINK/USDT
2020-01-18,2.735,2.753,2.717,2.737,497164.57,2020-01-18,1360487.14344,4745,269650.77,738418.86319,LINK/USDT
2020-01-19,2.739,2.792,2.724,2.774,696812.12,2020-01-19,1923225.17859,4706,329679.81,910543.83414,LINK/USDT
2020-01-19,2.777,2.816,2.728,2.768,809432.05,2020-01-19,2246765.71239,5329,367533.96,1021108.19042,LINK/USDT
2020-01-19,2.774,2.833,2.738,2.833,657872.62,2020-01-19,1836738.58694,4892,365417.83,1020711.82156,LINK/USDT
2020-01-19,2.833,2.854,2.796,2.802,653119.81,2020-01-19,1848079.10320,4655,333643.90,945354.49678,LINK/USDT
2020-01-19,2.802,2.833,2.772,2.809,629284.02,2020-01-19,1762656.63744,5274,314484.81,881728.47053,LINK/USDT
2020-01-19,2.809,2.831,2.756,2.772,570033.14,2020-01-19,1596010.81510,4455,255187.11,715760.54818,LINK/USDT
2020-01-19,2.772,2.804,2.556,2.680,1320185.74,2020-01-19,3520507.55874,6994,485595.69,1298896.06728,LINK/USDT
2020-01-19,2.680,2.686,2.586,2.630,874768.02,2020-01-19,2305474.59433,5238,377591.91,996887.44848,LINK/USDT
2020-01-19,2.625,2.657,2.604,2.615,527427.88,2020-01-19,1384312.17150,4754,243618.66,639969.74380,LINK/USDT
2020-01-19,2.614,2.643,2.605,2.618,607358.02,2020-01-19,1596749.47273,4907,309182.82,813603.60274,LINK/USDT
2020-01-19,2.618,2.623,2.520,2.573,863565.25,2020-01-19,2220343.70070,5472,364502.67,938576.83642,LINK/USDT
2020-01-19,2.573,2.606,2.550,2.601,842785.50,2020-01-19,2173627.21623,4803,466734.39,1204254.87308,LINK/USDT
2020-01-20,2.604,2.675,2.519,2.623,1059130.35,2020-01-20,2756271.38165,5969,511484.19,1335858.64046,LINK/USDT
